,Final_matn,matn_length,chapter_no,chapter,level
0,بين نبي جلس قوم جءه عرب سعة مضى قوم سمع فكر وقل بعض سمع قضى حدث اره سئل سعة ضيع منة نظر سعة ضعت وسد امر اهل نظر سعة,385,3,Knowledge - كتاب العلم,صعب
1,خلف عنا نبي سفر سفر أدر رهق صلة ونح وضأ جعل مسح رجل ندى أعلى صوت ويل عقب نار مرت ثلث,181,3,Knowledge - كتاب العلم,سهل
2,شجر شجر سقط ورق وإن سلم حدثو وقع ناس شجر بدي عبد وقع نفس انه نخل فاستحييت قال نخل,209,3,Knowledge - كتاب العلم,سهل
3,شجر شجر سقط ورق وإن سلم حدثو وقع ناس شجر بدي عبد وقع نفس انه نخل قال نخل,204,3,Knowledge - كتاب العلم,سهل
4,بين جلس نبي سجد دخل رجل جمل أنخ سجد عقل يكم حمد نبي تكئ ظهر فقل رجل ابض تكئ رجل عبد طلب نبي اجب رجل نبي سئل شدد سأل تجد نفس سل بدا سأل برب ورب قبل الل رسل ناس كلهم لهم شدك بلل الل امر نصل صلو خمس ليل لهم شدك بلل الل امر نصم شهر سنة لهم شدك بلل الل امر أخذ صدق غنيائ قسم قرئ نبي لهم رجل امن جئت وأن وري قوم وأن ضمم ثعلب بني سعد بكر,877,3,Knowledge - كتاب العلم,صعب
5,عبد عبس خبر بعث كتب رجل أمر دفع عظم بحر دفع عظم بحر كسرى فلم قرأ زقه حسب سيب فدع علي مزق مزق,240,3,Knowledge - كتاب العلم,صعب
6,كتب نبي كتب ارد كتب فقل نهم قرء كتب ختو تخذ خات فضة نقش حمد كأن نظر بيض يده فقل قتد نقش حمد,204,3,Knowledge - كتاب العلم,سهل
7,بين جلس سجد ناس معه نفر أقبل ذهب وقف فأم احد رأى فرج حلق جلس وأم اخر جلس خلف وأم ثلث أدبر ذهب فلم فرغ خبر نفر ثلث احد فأى فآا وأم اخر ستح ستح وأم اخر أعرض أعرض,433,3,Knowledge - كتاب العلم,سهل
8,ذكر نبي قعد بعر أمس انس خطم زمم يوم فسك ظنن يسم اسم الس يوم نحر قلن فأى شهر فسك ظنن يسم بغر اسم الس بذي حجة قلن دمء أموال أعراض بين حرم كحرم يوم شهر بلد بلغ شهد غئب شهد بلغ وعى,453,3,Knowledge - كتاب العلم,سهل
9,نبي تخل وعظ ايم كره سآم علي,78,3,Knowledge - كتاب العلم,سهل
10,يسر عسر بشر نفر,43,3,Knowledge - كتاب العلم,سهل
11,عبد ذكر ناس رجل عبد رحم ودد انك ذكر يوم منع اني اكر امل وإن تخل وعظ نبي تخل خاف سآم علي,227,3,Knowledge - كتاب العلم,سهل
12,يرد خير يفق دين قسم ولل يعط ولن تزل امة قئم امر يضر خلف يأت امر,145,3,Knowledge - كتاب العلم,سهل
13,كنا نبي فأت جمر شجر شجر مثل كمثل سلم أرد اقل نخل صغر قوم فسك نبي نخل,195,3,Knowledge - كتاب العلم,سهل
14,حسد اثن رجل اته الا سلط هلك لحق رجل اته حكم فهو يقض علم,115,3,Knowledge - كتاب العلم,سهل
15,مرت صحب صحب وسى سأل وسى سبل لقه نبي ذكر شأن بين وسى ملإ بني رائيل جءه رجل علم احد منك وسى أوحى وسى عبد خضر سأل وسى سبل اله جعل حوت اية وقل فقد حوت رجع فإن تلق تبع اثر حوت بحر وسى فته ارأ اوي صخر فإن نست حوت سان شيط ذكر كنا نبغ رتد ثره قصص وجد خضر فكان شأن قص عز وجل كتب,611,3,Knowledge - كتاب العلم,صعب
16,ضمن وقل لهم علم كتب,67,3,Knowledge - كتاب العلم,سهل
17,قبل ركب حمر اتن وأن مئذ نهز حلم رسل يصل منى جدر مرر يدى لصف أرسل اتن رتع دخل لصف فلم نكر,188,3,Knowledge - كتاب العلم,صعب
18,عقل نبي مجة جها وجه وأن سنن دلو,77,3,Knowledge - كتاب العلم,صعب
19,ذكر شأن بين وسى ملإ بني رائيل جءه رجل علم احد منك وسى أوحى عز وجل وسى عبد خضر سأل سبل لقه جعل حوت اية وقل فقد حوت رجع فإن تلق فكان وسى تبع اثر حوت بحر فتى وسى وسى ارأ اوي صخر فإن نست حوت سان شيط ذكر وسى كنا نبغ رتد ثره قصص وجد خضر فكان شأن قص كتب,498,3,Knowledge - كتاب العلم,صعب
20,بعث هدى علم كمثل غيث كثر اصب ارض فكان نقة قبل ماء أنب كلأ عشب كثر وكانت جدب امس ماء نفع ناس شرب وسق زرع أصب طئف خرى قيع تمس ماء تنب كلأ فذل فقه دين نفع بعث علم علم مثل رفع بذل رأس ولم قبل هدى رسل,387,3,Knowledge - كتاب العلم,صعب
21,شرط سعة رفع علم يثب جهل شرب خمر ظهر زنا,79,3,Knowledge - كتاب العلم,سهل
22,شرط سعة يقل علم ظهر جهل ظهر زنا كثر نسء يقل رجل يكون خمس مرأ قيم وحد,124,3,Knowledge - كتاب العلم,سهل
23,بين نئم اتت قدح لبن شرب أرى الر خرج ظفر اعط فضل عمر خطب قال فما اول علم,154,3,Knowledge - كتاب العلم,صعب
24,وقف حجة ودع منى ناس ألو فجء رجل شعر حلق ذبح ذبح حرج فجء اخر شعر نحر ارم ارم حرج فما سئل نبي شىء قدم اخر فعل حرج,257,3,Knowledge - كتاب العلم,صعب
