sand,chapter_no,chapter,level,matn,sand_length,matn_length
حدثنا محمد بن سنان قال حدثنا فليح ح وحدثني إبراهيم بن المنذر قال حدثنا محمد بن فليح قال حدثني أبي قال حدثني هلال بن علي عن عطاء بن يسار عن أبي هريرة قال بينما النبي صلى الله عليه وسلم في مجلس يحدث القوم جاءه أعرابي فقال متى الساعة فمضى رسول الله صلى الله عليه وسلم يحدث فقال بعض القوم سمع ما قال فكره ما قال وقال بعضهم بل لم يسمع حتى إذا قضى حديثه قال  أين أراه السائل عن الساعة  قال ها أنا يا رسول الله قال  فإذا ضيعت الأمانة فانتظر الساعة  قال كيف إضاعتها قال  إذا وسد الأمر إلى غير أهله فانتظر الساعة ,3.0,Knowledge - كتاب العلم,صعب,بينما النبي صلى الله عليه وسلم في مجلس يحدث القوم جاءه أعرابي فقال متى الساعة فمضى رسول الله صلى الله عليه وسلم يحدث فقال بعض القوم سمع ما قال فكره ما قال وقال بعضهم بل لم يسمع حتى إذا قضى حديثه قال  أين أراه السائل عن الساعة  قال ها أنا يا رسول الله قال  فإذا ضيعت الأمانة فانتظر الساعة  قال كيف إضاعتها قال  إذا وسد الأمر إلى غير أهله فانتظر الساعة ,546.0,385
حدثنا أبو النعمان عارم بن الفضل قال حدثنا أبو عوانة عن أبي بشر عن يوسف بن ماهك عن عبد الله بن عمرو قال تخلف عنا النبي صلى الله عليه وسلم في سفرة سافرناها فأدركنا وقد أرهقتنا الصلاة ونحن نتوضأ فجعلنا نمسح على أرجلنا فنادى بأعلى صوته  ويل للأعقاب من النار  مرتين أو ثلاثا,3.0,Knowledge - كتاب العلم,سهل,تخلف عنا النبي صلى الله عليه وسلم في سفرة سافرناها فأدركنا وقد أرهقتنا الصلاة ونحن نتوضأ فجعلنا نمسح على أرجلنا فنادى بأعلى صوته  ويل للأعقاب من النار  مرتين أو ثلاثا,289.0,181
حدثنا قتيبة حدثنا إسماعيل بن جعفر عن عبد الله بن دينار عن ابن عمر قال قال رسول الله صلى الله عليه وسلم  إن من الشجر شجرة لا يسقط ورقها وإنها مثل المسلم فحدثوني ما هي  فوقع الناس في شجر البوادي قال عبد الله ووقع في نفسي أنها النخلة فاستحييت ثم قالوا حدثنا ما هي يا رسول الله قال  هي النخلة ,3.0,Knowledge - كتاب العلم,سهل, إن من الشجر شجرة لا يسقط ورقها وإنها مثل المسلم فحدثوني ما هي  فوقع الناس في شجر البوادي قال عبد الله ووقع في نفسي أنها النخلة فاستحييت ثم قالوا حدثنا ما هي يا رسول الله قال  هي النخلة ,317.0,209
حدثنا خالد بن مخلد حدثنا سليمان حدثنا عبد الله بن دينار عن ابن عمر عن النبي صلى الله عليه وسلم قال  إن من الشجر شجرة لا يسقط ورقها وإنها مثل المسلم حدثوني ما هي  قال فوقع الناس في شجر البوادي قال عبد الله فوقع في نفسي أنها النخلة ثم قالوا حدثنا ما هي يا رسول الله قال  هي النخلة ,3.0,Knowledge - كتاب العلم,سهل, إن من الشجر شجرة لا يسقط ورقها وإنها مثل المسلم حدثوني ما هي  قال فوقع الناس في شجر البوادي قال عبد الله فوقع في نفسي أنها النخلة ثم قالوا حدثنا ما هي يا رسول الله قال  هي النخلة ,307.0,204
حدثنا عبد الله بن يوسف قال حدثنا الليث عن سعيد هو المقبري عن شريك بن عبد الله بن أبي نمر أنه سمع أنس بن مالك يقول بينما نحن جلوس مع النبي صلى الله عليه وسلم في المسجد دخل رجل على جمل فأناخه في المسجد ثم عقله ثم قال لهم أيكم محمد والنبي صلى الله عليه وسلم متكئ بين ظهرانيهم فقلنا هذا الرجل الأبيض المتكئ فقال له الرجل ابن عبد المطلب فقال له النبي صلى الله عليه وسلم  قد أجبتك  فقال الرجل للنبي صلى الله عليه وسلم إني سائلك فمشدد عليك في المسألة فلا تجد على في نفسك فقال  سل عما بدا لك  فقال أسألك بربك ورب من قبلك آلله أرسلك إلى الناس كلهم فقال  اللهم نعم  قال أنشدك بالله آلله أمرك أن نصلي الصلوات الخمس في اليوم والليلة قال  اللهم نعم  قال أنشدك بالله آلله أمرك أن نصوم هذا الشهر من السنة قال  اللهم نعم  قال أنشدك بالله آلله أمرك أن تأخذ هذه الصدقة من أغنيائنا فتقسمها على فقرائنا فقال النبي صلى الله عليه وسلم  اللهم نعم  فقال الرجل آمنت بما جئت به وأنا رسول من ورائي من قومي وأنا ضمام بن ثعلبة أخو بني سعد بن بكر رواه موسى وعلي بن عبد الحميد عن سليمان عن ثابت عن أنس عن النبي صلى الله عليه وسلم بهذا,3.0,Knowledge - كتاب العلم,صعب,بينما نحن جلوس مع النبي صلى الله عليه وسلم في المسجد دخل رجل على جمل فأناخه في المسجد ثم عقله ثم قال لهم أيكم محمد والنبي صلى الله عليه وسلم متكئ بين ظهرانيهم فقلنا هذا الرجل الأبيض المتكئ فقال له الرجل ابن عبد المطلب فقال له النبي صلى الله عليه وسلم  قد أجبتك  فقال الرجل للنبي صلى الله عليه وسلم إني سائلك فمشدد عليك في المسألة فلا تجد على في نفسك فقال  سل عما بدا لك  فقال أسألك بربك ورب من قبلك آلله أرسلك إلى الناس كلهم فقال  اللهم نعم  قال أنشدك بالله آلله أمرك أن نصلي الصلوات الخمس في اليوم والليلة قال  اللهم نعم  قال أنشدك بالله آلله أمرك أن نصوم هذا الشهر من السنة قال  اللهم نعم  قال أنشدك بالله آلله أمرك أن تأخذ هذه الصدقة من أغنيائنا فتقسمها على فقرائنا فقال النبي صلى الله عليه وسلم  اللهم نعم  فقال الرجل آمنت بما جئت به وأنا رسول من ورائي من قومي وأنا ضمام بن ثعلبة أخو بني سعد بن بكر,1085.0,877
حدثنا إسماعيل بن عبد الله قال حدثني إبراهيم بن سعد عن صالح عن ابن شهاب عن عبيد الله بن عبد الله بن عتبة بن مسعود أن عبد الله بن عباس أخبره أن رسول الله صلى الله عليه وسلم بعث بكتابه رجلا وأمره أن يدفعه إلى عظيم البحرين فدفعه عظيم البحرين إلى كسرى فلما قرأه مزقه فحسبت أن ابن المسيب قال فدعا عليهم رسول الله صلى الله عليه وسلم أن يمزقوا كل ممزق,3.0,Knowledge - كتاب العلم,صعب,أن عبد الله بن عباس أخبره أن رسول الله صلى الله عليه وسلم بعث بكتابه رجلا وأمره أن يدفعه إلى عظيم البحرين فدفعه عظيم البحرين إلى كسرى فلما قرأه مزقه فحسبت أن ابن المسيب قال فدعا عليهم رسول الله صلى الله عليه وسلم أن يمزقوا كل ممزق,358.0,240
حدثنا محمد بن مقاتل أبو الحسن أخبرنا عبد الله قال أخبرنا شعبة عن قتادة عن أنس بن مالك قال كتب النبي صلى الله عليه وسلم كتابا أو أراد أن يكتب فقيل له إنهم لا يقرءون كتابا إلا مختوما فاتخذ خاتما من فضة نقشه محمد رسول الله كأني أنظر إلى بياضه في يده فقلت لقتادة من قال نقشه محمد رسول الله قال أنس,3.0,Knowledge - كتاب العلم,سهل,كتب النبي صلى الله عليه وسلم كتابا أو أراد أن يكتب فقيل له إنهم لا يقرءون كتابا إلا مختوما فاتخذ خاتما من فضة نقشه محمد رسول الله كأني أنظر إلى بياضه في يده فقلت لقتادة من قال نقشه محمد رسول الله,310.0,204
حدثنا إسماعيل قال حدثني مالك عن إسحاق بن عبد الله بن أبي طلحة أن أبا مرة مولى عقيل بن أبي طالب أخبره عن أبي واقد الليثي أن رسول الله صلى الله عليه وسلم بينما هو جالس في المسجد والناس معه إذ أقبل ثلاثة نفر فأقبل اثنان إلى رسول الله صلى الله عليه وسلم وذهب واحد قال فوقفا على رسول الله صلى الله عليه وسلم فأما أحدهما فرأى فرجة في الحلقة فجلس فيها وأما الآخر فجلس خلفهم وأما الثالث فأدبر ذاهبا فلما فرغ رسول الله صلى الله عليه وسلم قال  ألا أخبركم عن النفر الثلاثة أما أحدهم فأوى إلى الله فآواه الله وأما الآخر فاستحيا فاستحيا الله منه وأما الآخر فأعرض فأعرض الله عنه ,3.0,Knowledge - كتاب العلم,سهل,بينما هو جالس في المسجد والناس معه إذ أقبل ثلاثة نفر فأقبل اثنان إلى رسول الله صلى الله عليه وسلم وذهب واحد قال فوقفا على رسول الله صلى الله عليه وسلم فأما أحدهما فرأى فرجة في الحلقة فجلس فيها وأما الآخر فجلس خلفهم وأما الثالث فأدبر ذاهبا فلما فرغ رسول الله صلى الله عليه وسلم قال  ألا أخبركم عن النفر الثلاثة أما أحدهم فأوى إلى الله فآواه الله وأما الآخر فاستحيا فاستحيا الله منه وأما الآخر فأعرض فأعرض الله عنه ,590.0,433
حدثنا مسدد قال حدثنا بشر قال حدثنا ابن عون عن ابن سيرين عن عبد الرحمن بن أبي بكرة عن أبيه ذكر النبي صلى الله عليه وسلم قعد على بعيره وأمسك إنسان بخطامه أو بزمامه قال  أى يوم هذا  فسكتنا حتى ظننا أنه سيسميه سوى اسمه قال  أليس يوم النحر  قلنا بلى قال  فأى شهر هذا  فسكتنا حتى ظننا أنه سيسميه بغير اسمه فقال  أليس بذي الحجة  قلنا بلى قال  فإن دماءكم وأموالكم وأعراضكم بينكم حرام كحرمة يومكم هذا في شهركم هذا في بلدكم هذا ليبلغ الشاهد الغائب فإن الشاهد عسى أن يبلغ من هو أوعى له منه ,3.0,Knowledge - كتاب العلم,سهل,ذكر النبي صلى الله عليه وسلم قعد على بعيره وأمسك إنسان بخطامه أو بزمامه قال  أى يوم هذا  فسكتنا حتى ظننا أنه سيسميه سوى اسمه قال  أليس يوم النحر  قلنا بلى قال  فأى شهر هذا  فسكتنا حتى ظننا أنه سيسميه بغير اسمه فقال  أليس بذي الحجة  قلنا بلى قال  فإن دماءكم وأموالكم وأعراضكم بينكم حرام كحرمة يومكم هذا في شهركم هذا في بلدكم هذا ليبلغ الشاهد الغائب فإن الشاهد عسى أن يبلغ من هو أوعى له منه ,549.0,453
حدثنا محمد بن يوسف قال أخبرنا سفيان عن الأعمش عن أبي وائل عن ابن مسعود قال كان النبي صلى الله عليه وسلم يتخولنا بالموعظة في الأيام كراهة السآمة علينا,3.0,Knowledge - كتاب العلم,سهل,كان النبي صلى الله عليه وسلم يتخولنا بالموعظة في الأيام كراهة السآمة علينا,158.0,78
